Count	Supply(COIN)	Pow	Reward(COIN)
0	0		2^{32}	42.94967296
1	536870912	2^{31}	21.47483648	
2	805306368	2^{30}	10.73741824	
3	939524096	2^{29}	5.36870912	
4	1006632960	2^{28}	2.68435456	
5	1040187392	2^{27}	1.34217728	
6	1056964608	2^{26}	0.67108864	
7	1065353216	2^{25}	0.33554432	
8	1069547520	2^{24}	0.16777216	
9	1071644672	2^{23}	0.08388608	
10	1072693248	2^{22}	0.04194304	
11	1073217536	2^{21}	0.02097152	
12	1073479680	2^{20}	0.01048576	
13	1073610752	2^{19}	0.00524288	
14	1073676288	2^{18}	0.00262144	
15	1073709056	2^{17}	0.00131072	
16	1073725440	2^{16}	0.00065536	
17	1073733632	2^{15}	0.00032768	
18	1073737728	2^{14}	0.00016384	
19	1073739776	2^{13}	0.00008192	
20	1073740800	2^{12}	0.00004096	
21	1073741312	2^{11}	0.00002048	
22	1073741568	2^{10}	0.00001024	
23	1073741696	2^{9}	0.00000512	
24	1073741760	2^{8}	0.00000256	
25	1073741792	2^{7}	0.00000128	
26	1073741808	2^{6}	0.00000064	
27	1073741816	2^{5}	0.00000032	
28	1073741820	2^{4}	0.00000016	
29	1073741822	2^{3}	0.00000008	
30	1073741823	2^{2}	0.00000004	
31	1073741823.5	2^{1}	0.00000002	
32	1073741823.75	2^{0}	0.00000001	
33	1073741823.875	2^{-inf}	0.00000000	
